RANDOM ,PRODUCT ID,CUSTOMER ID,RETURN DATE,RETURN CONDITION,RETURN REASON,TRANSACTION ID,RETURN TYPE,CITY,SELLER ID,LABEL,ITEM SOLD OUT COUNT,ITEMS RETURN COUNT,ITEM TYPE,RETURN REQUEST,PRE VERIFICATION,CUSTOMER COMPLAINT
0.465526325,1234679,6767000,10-01-2023,New,Incorrect item,10001,mail,Jaipur,7141,Not Fraudulent,6,3,Bags Wallet Luggage,Accepted,Completed,Wrong items delivered
0.491306273,1234657,6770000,10-01-2023,Damaged,Defective item,10002,in-person,Chennai,6981,Not Fraudulent,10,8,Bags Wallet Luggage,Accepted,Completed,Extremely poor quality products
0.452329579,1234701,6773000,10-01-2023,Used,Incorrect item,10003,in-person,Chennai,3452,Not Fraudulent,3,0,Bags Wallet Luggage,Accepted,Completed,Satisfied
0.093225127,1234613,6776000,10-01-2023,Used,Incorrect item,10004,in-person,Chennai,5678,Fraudulent,5,5,Clothing,Accepted,Completed,Always gets wrong item and poor quality products as well
0.787047023,1234789,6779000,10-01-2023,New,Incorrect item,10005,in-person,Mumbai,5679,Not Fraudulent,6,1,Electronic Gadgets,Not Accepted,Not Completed,Getting wrong color and sizes
0.759675645,1234437,6782000,10-01-2023,New,Incorrect item,10006,mail,Jaipur,4657,Not Fraudulent,4,2,Electronic Gadgets,Not Accepted,Not Completed,Wrong items delivered
0.501061336,1235141,6785000,10-01-2023,Used,Missing item,10007,mail,Jaipur,4738,Not Fraudulent,1,1,Bags Wallet Luggage,Not Accepted,Not Completed,Getting wrong color and sizes
0.621275826,1233733,6788000,10-01-2023,New,Incorrect item,10008,mail,Bangalore,1212,Not Fraudulent,8,5,Electronic Gadgets,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.255537989,1236549,6791000,10-01-2023,Damaged,Defective item,10009,mail,Bangalore,1212,Fraudulent,6,6,Shoes and Footwear,Accepted,Completed,Always gets wrong item and poor quality products as well
0.556524765,1230917,6791000,10-01-2023,Used,Missing item,10010,in-person,Chennai,1212,Not Fraudulent,1,0,Bags Wallet Luggage,Not Accepted,Not Completed,Satisfied
0.110371167,1242181,6791000,10-01-2023,Used,Missing item,10011,mail,Bangalore,7141,Fraudulent,2,2,Clothing,Accepted,Completed,Wrong items delivered
0.738573355,1219653,6791000,10-01-2023,Used,Missing item,10012,in-person,Mumbai,3452,Not Fraudulent,3,2,Electronic Gadgets,Not Accepted,Not Completed,Wrong items delivered
0.693827742,1264709,6791000,10-01-2023,Damaged,Defective item,10013,mail,Bangalore,3452,Not Fraudulent,5,1,Electronic Gadgets,Not Accepted,Not Completed,Getting wrong color and sizes
0.213986301,,6806000,10-01-2023,Used,Defective item,10014,mail,Bangalore,6981,Fraudulent,10,9,Shoes and Footwear,Accepted,Completed,Extremely poor quality products
0.193540774,1354821,6809000,10-01-2023,Used,Defective item,10015,in-person,Mumbai,5678,Fraudulent,1,0,Clothing,Accepted,Completed,Satisfied
